Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4971985,04/26/2017,1400,14,Pacific,1494,28,M,O,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,00    WORLD WAY,
4972482,04/27/2017,0120,19,Mission,1904,20,M,B,16,Narcotic Drug Laws,F,11361HS,INDUCE/ETC MINOR TO USE/SELL MARIJUANA,BERGSTROM,TYLER
4973222,04/27/2017,2230,14,Pacific,1494,41,F,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,400    WORLD                        WY,
4975615,04/30/2017,1550,06,Hollywood,0646,30,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,LAS PALMAS,HOLLYWOOD
4975618,04/30/2017,1530,18,Southeast,1804,30,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,88TH                         PL,AVALON                       BL
4975808,04/30/2017,2155,10,West Valley,1023,18,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,WILBUR,ARCHWOOD
4976527,05/01/2017,1610,09,Van Nuys,0933,41,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,VAN NUYS,BESSEMER
4976529,05/01/2017,1610,09,Van Nuys,0933,34,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,VAN NUYS                     BL,BESSEMER                     AV
4977276,05/02/2017,1420,13,Newton,1333,27,M,H,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,2900 S  CENTRAL                      AV,
4977353,05/02/2017,1600,19,Mission,1983,37,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,15300    PARTHENIA                    ST,
4977354,05/02/2017,1600,19,Mission,1983,22,M,H,16,Narcotic Drug Laws,M,11360(B)HS,GIVE/TRANSPORT/ETC < 28.5 GRAMS MARIJUANA,15300    PARTHENIA                    ST,
4977363,05/02/2017,1600,19,Mission,1983,25,M,H,16,Narcotic Drug Laws,M,11360(B)HS,GIVE/TRANSPORT/ETC < 28.5 GRAMS MARIJUANA,15300    PARTHENIA                    ST,
4977396,05/02/2017,1810,14,Pacific,1494,18,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,300    WORLD WAY,
4978468,05/03/2017,1825,08,West LA,0821,36,F,O,16,Narcotic Drug Laws,M,11360(B)HS,GIVE/TRANSPORT/ETC < 28.5 GRAMS MARIJUANA,PCH,TEMESCAL CAN
4980251,05/05/2017,1555,09,Van Nuys,0919,21,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,NAGLE                        AV,VANOWEN                      ST
4980987,05/06/2017,1200,13,Newton,1341,36,M,H,16,Narcotic Drug Laws,M,11358(C)HS,CULTIVATING <6 MARIJUANA PLANTS,3900    BROADWAY                     PL,
4981508,05/07/2017,0830,15,N Hollywood,1599,38,M,W,16,Narcotic Drug Laws,M,11357(B)2HS,POSS MARIJUANA OR CONCENTRATED CANNABIS,WOODROW,CAHUENGA
4981541,05/07/2017,1130,01,Central,0162,29,M,H,16,Narcotic Drug Laws,M,23222(B)VC,POSSESS OF MARIJUANA WHILE DRIVING VEH,7TH,FLOWER
4982160,05/08/2017,0420,01,Central,0192,21,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,GRAND,PICO
4982163,05/08/2017,0420,01,Central,0192,18,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,GRAND,PICO                         BL
4982210,05/08/2017,0810,21,Topanga,2161,30,M,W,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,5700    PLATT                        AV,
4983064,05/09/2017,1000,14,Pacific,1494,25,M,W,16,Narcotic Drug Laws,F,11358HS,UNLAWFULLY PLANT/CULTIVATE/ETC MARIJUANA,300    WORLD WAY,
110112889,06/28/2011,1045,01,Central,0156,49,M,H,,,M,11532HS,,6TH,SAN PEDRO                    ST
4983724,05/09/2017,2240,16,Foothill,1698,44,M,W,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,SAN FERNANDO,FERNCOLA
4986563,05/13/2017,0200,03,Southwest,0397,22,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,41ST                         ST,VERMONT                      AV
4987473,05/14/2017,0320,16,Foothill,1681,48,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,12400    WICKS                        ST,
4988264,05/15/2017,0720,03,Southwest,0337,64,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,JEFFERSON                    BL,WESTERN                      AV
4989772,05/16/2017,2000,02,Rampart,0246,62,M,B,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,7TH                          ST,ALVARADO                     ST
4989913,05/16/2017,2150,01,Central,0158,36,M,W,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,7TH,ALAMEDA
4990531,05/17/2017,1800,14,Pacific,1494,30,F,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,400    WORLD WAY,
4990570,05/17/2017,1800,21,Topanga,2118,33,M,H,16,Narcotic Drug Laws,M,11357(C)HS,POSSESS LESS THAN 28.5 GRAMS OF MARIJUANA,20100    ROSCOE                       BL,
4990686,05/17/2017,1820,20,Olympic,2069,19,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,2200 W  PICO                         BL,
4991709,05/18/2017,1855,06,Hollywood,0636,34,M,B,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,MCCADDEN,HOLLYWOOD
4991721,05/18/2017,1855,06,Hollywood,0636,25,M,B,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,HOLLYWOOD,LAS PALMAS
4992796,05/19/2017,1625,20,Olympic,2088,22,F,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,1600 S  HOOVER                       ST,
4992814,05/19/2017,1625,20,Olympic,2088,20,F,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,1600 S  HOOVER                       ST,
4993059,05/19/2017,1625,20,Olympic,2039,26,F,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,600 S  HOOVER                       ST,
4993153,05/19/2017,2330,13,Newton,1362,27,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,49TH                         ST,SAN PEDRO
4993616,05/20/2017,1930,12,77th Street,1203,29,M,B,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,GRAMERCY,49TH
4993745,05/20/2017,2300,01,Central,0127,45,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,100 N  LOS ANGELES                  ST,
